Tytuł;Autor;Rodzaj;Data powstania;Wymiary;Data zakupu
Mikołaj Kopernik;Dwurnik Edward;akryl, tusz;2004;210x150cm;29.12.2017
Opowiedz czym zajmował się Mikołaj Kopernik;Maciejowski Marcin;olej;2004;71x105cm;29.12.2017
Linia śladem myślenia;Dobkowski Jan;akryl;1981;67x49cm;29.12.2017
Obrazy symultaniczne I;Dobkowski Jan;akryl;1995;120x160cm;29.12.2017
Obrazy symultaniczne II;Dobkowski Jan;akryl;1995;120x160cm;29.12.2017
Obrazy symultaniczne III;Dobkowski Jan;akryl;1995;120x160cm;29.12.2017
Obrazy symultaniczne IV;Dobkowski Jan;akryl;1995;194x147cm;29.12.2017
Obrazy symultaniczne V;Dobkowski Jan;akryl;1995;194x147cm;29.12.2017
Obrazy symultaniczne VI;Dobkowski Jan;akryl;1996;120x160cm;29.12.2017
Obrazy symultaniczne I;Dobkowski Jan;akryl;1996;120x160cm;29.12.2017
Obrazy symultaniczne VIII;Dobkowski Jan;akryl;1996;120x160cm;29.12.2017
Obrazy symultaniczne IX;Dobkowski Jan;akryl;1996;60x81cm;29.12.2017
Autoportret symultaniczny;Dobkowski Jan;akryl;2000;55x55cm;29.12.2017
Papier na płótnie A1;Prokopiuk Andrzej;smoła, akryl;1996;127x154cm (dyptyk);29.12.2017
Papier na płótnie B1;Prokopiuk Andrzej;smoła, akryl;1996;127x154cm (każda część z dyptyku);29.12.2017
Samotrzeć 2;Białecka Beata Ewa;olej, haft;2011;150x150cm;29.12.2017
Chwast znad Wisły;Radovanović Vojislav;akryl, tusz;2016;100x130cm;29.12.2017
Słonecznik;Radovanović Vojislav;akryl, tusz;2016;100x130cm;29.12.2017
Rzep;Radovanović Vojislav;akryl, tusz;2016;100x130cm;29.12.2017
Wykrój I;Brzuskiewicz Jerzy;mixed media;2001;1 cz. 59x121x2cm, 2 cz. 58,5x67x2cm;22.11.2017
Wykrój II;Brzuskiewicz Jerzy;mixed media;2001;89,5x69x2cm;22.11.2017
Wykrój III;Brzuskiewicz Jerzy;mixed media;2001;1 cz. 59,5x62x2cm, 2 cz. 46x68x2cm;22.11.2017
Wykrój IV;Brzuskiewicz Jerzy;mixed media;2001;153x24x2cm;22.11.2017
Polska (Miski);Sosnowski Zdzisław;akryl;1982;379x235cm;15.06.2018
Polska (Widelce);Sosnowski Zdzisław;akryl;1982;233x273cm;15.06.2018
bez tytułu 03;Krzywak Sebastian;olej, akryl, emalia;2017;190x135 cm (krosno 3D);30.07.2018
Pulp fiction;Gliszczyński Krzysztof;mixed media;2013-2015;200x300 cm (dwie części, każda po 150x200cm);29.10.2018
z cyklu Obcy chcą być dobrzy;Skarbek Krzysztof;akryl brokat, pastel, olej;2015-2016;100x70 cm;28.11.2018
z cyklu Obcy chcą być dobrzy;Skarbek Krzysztof;akryl brokat, pastel, olej;2015-2016;100x70 cm;28.11.2018
z cyklu Obcy chcą być dobrzy;Skarbek Krzysztof;akryl brokat, pastel, olej;2015-2016;100x70 cm;28.11.2018
Tabula'a cesta;Sedlačik Rastislav;mixed media;2015;56x43 cm, 50x70 cm;03.12.2018
Księgi I-VI, Spisy VII, VIII;Banachowicz Andrzej;gobelin;2014;30x30cm (6 elementów), 80x80cm (2 elementy);27.12.2017
Shame;Kalisz Aleksandra;olej;2017;80x65 cm;24.07.2019
Serenity;Kalisz Aleksandra;olej;2018;100x85 cm;24.07.2019
Own;Kalisz Aleksandra;olej;2018;50x40 cm;24.07.2019
Złoty wiek sztuki polskiej 2000–2016/ Tribute to Maurizio Cattelan ...;The Krasnals;Malarstwo olejne;2016;110x110 cm;05.09.2019
W 100-lecie Niepodległości;Brzuskiewicz Jerzy;mixed media;2018;63,7x65,4;14.10.2019
Inwersja;Sobczyński Antoni Wojciech;asamblaż;2017;136x86x4cm;22.10.2019
